api_name,text_clean
_lread,Reads data from the specified file. This function is provided for compatibility with 16-bit versions of Windows. Win32-based applications should use the ReadFile function.
_lwrite,Writes data to the specified file.
_MaySaveChanges,Deprecated. Enables the base class to check whether the browser view needs to save changes before closing.
_NavigateToPidl,Deprecated. Navigates the base class to a new location synchronously.
_NewEnum,Retrieves a new enumeration.
_NewEnum,Retrieves an enumerator for the collection of Shell windows.
_NewEnum,Retrieves an IEnumVARIANT enumerator interface for this collection of stories.
_OnFocusChange,Deprecated. Coordinates focus between the base and the derived class when the focus shifts between the derived class's browser toolbars and its view.
_PauseOrResumeView,Deprecated. Enables a derived class to request the base class to either pause  or resume the browser view.
_PositionViewWindow,Deprecated. Used in view size negotiations. This method is called by _UpdateViewRectSize after determining the available dimensions.
_put_itbLastFocus,Deprecated. Sets the last toolbar or the last view with focus.
_ResizeNextBorder,Deprecated. Resizes the border of the browser view in response to the addition or removal of toolbars.
_ResizeNextBorderHelper,Deprecated. A helper method used by the implementation of IBrowserService2::_ResizeNextBorder.
_ResizeView,"Deprecated. Calls IBrowserService2::_UpdateViewRectSize, then updates the browser view by using IOleInPlaceActiveObject::ResizeBorder."
_SaveToolbars,Deprecated. Saves the state of browser toolbars.
_SendChildren,Deprecated. Allows the derived class to send a message through the SendMessage function directly instead of relying on the base class.
_SetFocus,Deprecated. Sets the focus on a toolbar or on the browser's view window. Called when translating accelerators through TranslateAcceleratorSB or when IBrowserService2::v_MayGetNextToolbarFocus fails.
_SwitchActivationNow,Deprecated. Coordinates state updates while switching between current and pending browser views.
_TrackMouseEvent,"Posts messages when the mouse pointer leaves a window or hovers over a window for a specified amount of time. This function calls TrackMouseEvent if it exists, otherwise it emulates it."
_TryShell2Rename,Deprecated. Coordinates the renaming of the current browser view when the browser is redirected.
_UIActivateView,Deprecated. Allows a derived class to request that the base class update the browser view.
_UpdateViewRectSize,Deprecated. Called to inform other functions involved in the browser view size negotiations that the allowable browser view dimensions have changed.
~CD3D11_BLEND_DESC,Destroys an instance of a CD3D11_BLEND_DESC structure.
~CD3D11_BOX,Destroys an instance of a CD3D11_BOX structure.
~CD3D11_BUFFER_DESC,Destroys an instance of a CD3D11_BUFFER_DESC structure.
~CD3D11_COUNTER_DESC,Destroys an instance of a CD3D11_COUNTER_DESC structure.
~CD3D11_DEPTH_STENCIL_DESC,Destroys an instance of a CD3D11_DEPTH_STENCIL_DESC structure.
~CD3D11_DEPTH_STENCIL_VIEW_DESC,Destroys an instance of a CD3D11_DEPTH_STENCIL_VIEW_DESC structure.
~CD3D11_QUERY_DESC,Destroys an instance of a CD3D11_QUERY_DESC structure.
~CD3D11_RASTERIZER_DESC,Destroys an instance of a CD3D11_RASTERIZER_DESC structure.
~CD3D11_RECT,Destroys an instance of a CD3D11_RECT structure.
~CD3D11_RENDER_TARGET_VIEW_DESC,Destroys an instance of a CD3D11_RENDER_TARGET_VIEW_DESC structure.
~CD3D11_SAMPLER_DESC,Destroys an instance of a CD3D11_SAMPLER_DESC structure.
~CD3D11_SHADER_RESOURCE_VIEW_DESC,Destroys an instance of a CD3D11_SHADER_RESOURCE_VIEW_DESC structure.
~CD3D11_TEXTURE1D_DESC,Destroys an instance of a CD3D11_TEXTURE1D_DESC structure.
~CD3D11_TEXTURE2D_DESC,Destroys an instance of a CD3D11_TEXTURE2D_DESC structure.
~CD3D11_TEXTURE3D_DESC,Destroys an instance of a CD3D11_TEXTURE3D_DESC structure.
~CD3D11_UNORDERED_ACCESS_VIEW_DESC,Destroys an instance of a CD3D11_UNORDERED_ACCESS_VIEW_DESC structure.
~CD3D11_VIEWPORT,Destroys an instance of a CD3D11_VIEWPORT structure.
~PathData,Destructor for the PathData class.
~TraceLoggingThreadActivityIdSetter,Restores the original activity ID to the thread.
Abandon,Releases all resources that are used by the viewport and prepares it for destruction from memory.
Abandon,"Terminates the storyboard, releases all related animation variables, and removes the storyboard from the schedule. "
AbandonAllStoryboards,Abandons all active storyboards.
AbandonSearch,abandons a search initiated by an earlier call to the ExecuteSearch method.
Abort,Aborts the asynchronous operation.
Abort,Aborts the download.
Abort,Aborts the processing of the current media segment.
Abort,Aborts the transaction.
Abort,Aborts the transfer of data on the attachment MIME data stream.
Abort,Aborts the work of all COM objects participating in the current transaction. The transaction ends on return from this method.
Abort,Cancels an incomplete asynchronous operation.
Abort,Cancels the current HTTP request.
Abort,closes the candidate list. There is no guarantee that the current selection will be finalized.
Abort,Stops an asynchronous load operation started by IUPnPDescriptionDocument::LoadAsync.
AbortAllSnapshotsInProgress,is reserved for system use.
AbortAsyncOperation,Aborts a pending asynchronous operation.
AbortBackup,Notifies VSS that a backup operation was terminated.
AbortList,Discontinues a Jump List building session initiated by ICustomDestinationList::BeginList without committing any changes.
AbortPath,Closes and discards any paths in the specified device context.
AbortRecord,Delivers a log record to the CRM Compensator during the abort phase. 
AbortRecordVariants,Delivers a log record to the CRM Compensator during the abort phase. 
AbortSnapshots,Aborts prepared shadow copies in this provider.
AbortSystemShutdownA,Stops a system shutdown that has been initiated. 
AbortSystemShutdownW,Stops a system shutdown that has been initiated. 
accDoDefaultAction,performs the specified object's default action. Not all objects have a default action.
accept,Permits an incoming connection attempt on a socket.
AcceptConnection,Directs the protocol to continue with the connection request.
AcceptEula,Accepts the Microsoft Software License Terms that are associated with Windows Update.
AcceptEx,"Accepts a new connection, returns the local and remote address, and receives the first block of data sent by the client application."
acceptFilePKCS7,Accepts and processes a file that contains a PKCS.
acceptFilePKCS7WStr,Accepts and processes a PKCS.
acceptFileResponse,"Accepts delivery of the credentials issued in response to an earlier call to createFileRequest, and it places the credentials in the appropriate store."
acceptFileResponseWStr,"Accepts delivery of the credentials issued in response to an earlier call to createFileRequestWStr, and it places the credentials in the appropriate store."
AcceptInput,Provides input to the APO on one of its auxiliary inputs.
acceptPKCS7,Accepts and processes a PKCS.
acceptPKCS7Blob,Accepts and processes a PKCS.
acceptResponse,Accepts delivery of the credentials issued in response to an earlier call to createRequest and places the credentials in the appropriate store.
acceptResponseBlob,Accepts delivery of the credentials issued in response to an earlier call to createRequestWStr and places the credentials in the appropriate store.
AcceptSecurityContext,Lets the server component of a transport application establish a security context between the server and a remote client.
AccessCheck,Determines whether a security descriptor grants a specified set of access rights to the client identified by an access token. 
AccessCheck,Determines whether the current client context is allowed to perform the specified operations.
AccessCheck,Implemented by an event provider and called by Windows Management Instrumentation  when a consumer subscribes to an event specified in wszQuery.
AccessCheck2,Returns a value that specifies whether the principal represented by the current client context is allowed to perform the specified operation.
AccessCheckAndAuditAlarmA,Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. 
AccessCheckAndAuditAlarmW,Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread.
AccessCheckByType,Determines whether a security descriptor grants a specified set of access rights to the client identified by an access token. 
AccessCheckByTypeAndAuditAlarmA,Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. 
AccessCheckByTypeAndAuditAlarmW,Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. 
AccessCheckByTypeResultList,Determines whether a security descriptor grants a specified set of access rights to the client identified by an access token. 
AccessCheckByTypeResultListAndAuditAlarmA,Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. 
AccessCheckByTypeResultListAndAuditAlarmByHandleA,Determines whether a security descriptor grants a specified set of access rights to the client that the calling thread is impersonating.
AccessCheckByTypeResultListAndAuditAlarmByHandleW,Determines whether a security descriptor grants access rights to the client that the calling thread is impersonating.
AccessCheckByTypeResultListAndAuditAlarmW,Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. 
AccessibleChildren,Retrieves the child ID or IDispatch of each child within an accessible container object.
AccessibleObjectFromEvent,Retrieves the address of the IAccessible interface for the object that generated the event that is currently being processed by the client's event hook function.
AccessibleObjectFromID,Retrieves an IAccessibleinterface pointer for the interface associated with the given object ID. Oleacc.dll uses this method to obtain an IAccessible interface pointer for proxies that are supplied by other code.
AccessibleObjectFromPoint,Retrieves the address of the IAccessible interface pointer for the object displayed at a specified point on the screen.
AccessibleObjectFromWindow,Retrieves the address of the specified interface for the object associated with the specified window.
AccessNtmsLibraryDoor,"Unlocks the door of the specified library. If the library is busy, RSM queues the request and returns successfully."
accHitTest,retrieves the child element or child object that is displayed at a specific point on the screen.
accLocation,retrieves the specified object's current screen location. All visual objects must support this method. Sound objects do not support this method.
accNavigate,traverses to another UI element within a container and retrieves the object. This method is optional.
AccNotifyTouchInteraction,Allows an assistive technology  application to notify the system that it is interacting with UI through a Windows Automation API  as a result of a touch gesture from the user.
accSelect,modifies the selection or moves the keyboard focus of the specified object. All objects that support selection or receive the keyboard focus must support this method.
AccSetRunningUtilityState,Sets system values that indicate whether an assistive technology  application's current state affects functionality that is typically provided by the system.
acmDriverAdd,Adds a driver to the list of available acm drivers.
acmDriverAddA,adds a driver to the list of available ACM drivers.
acmDriverAddW,Adds a driver to the list of available acm drivers.
acmDriverClose,"Closes a previously opened ACM driver instance. If the function is successful, the handle is invalidated."
acmDriverDetails,Queries a specified acm driver to determine its capabilities.
acmDriverDetailsA,queries a specified ACM driver to determine its capabilities. 
acmDriverDetailsW,queries a specified ACM driver to determine its capabilities. 
acmDriverID,returns the handle of an ACM driver identifier associated with an open ACM driver instance or stream handle.
acmDriverMessage,sends a user-defined message to a given ACM driver instance.
acmDriverOpen,opens the specified ACM driver and returns a driver instance handle that can be used to communicate with the driver.
acmDriverPriority,modifies the priority and state of an ACM driver.
acmDriverRemove,"Removes an ACM driver from the list of available ACM drivers. The driver will be removed for the calling application only. If the driver is globally installed, other applications will still be able to use it."
acmFilterChoose,creates an ACM-defined dialog box that enables the user to select a waveform-audio filter.
acmFilterChooseA,creates an ACM-defined dialog box that enables the user to select a waveform-audio filter. 
acmFilterChooseW,creates an ACM-defined dialog box that enables the user to select a waveform-audio filter. 
acmFilterDetails,queries the ACM for details about a filter with a specific waveform-audio filter tag.
acmFilterDetailsA,queries the ACM for details about a filter with a specific waveform-audio filter tag. 
acmFilterDetailsW,queries the ACM for details about a filter with a specific waveform-audio filter tag. 
acmFilterTagDetails,queries the ACM for details about a specific waveform-audio filter tag.
acmFilterTagDetailsA,queries the ACM for details about a specific waveform-audio filter tag. 
acmFilterTagDetailsW,queries the ACM for details about a specific waveform-audio filter tag. 
acmFormatChoose,creates an ACM-defined dialog box that enables the user to select a waveform-audio format.
acmFormatChooseA,creates an ACM-defined dialog box that enables the user to select a waveform-audio format. 
ACMFORMATCHOOSEHOOKPROC,Specifies a user-defined function that hooks the acmFormatChoose dialog box. The acmFormatChooseHookProc name is a placeholder for an application-defined name.
acmFormatChooseW,creates an ACM-defined dialog box that enables the user to select a waveform-audio format. 
acmFormatDetails,queries the ACM for format details for a specific waveform-audio format tag.
acmFormatDetailsA,queries the ACM for format details for a specific waveform-audio format tag. 
acmFormatDetailsW,queries the ACM for format details for a specific waveform-audio format tag. 
acmFormatSuggest,queries the ACM or a specified ACM driver to suggest a destination format for the supplied source format.
acmFormatTagDetails,queries the ACM for details on a specific waveform-audio format tag.
acmFormatTagDetailsA,queries the ACM for details on a specific waveform-audio format tag. 
acmFormatTagDetailsW,queries the ACM for details on a specific waveform-audio format tag. 
acmGetVersion,returns the version number of the ACM.
acmMetrics,returns various metrics for the ACM or related ACM objects.
acmStreamClose,"is successful, the handle is invalidated."
acmStreamConvert,"requests the ACM to perform a conversion on the specified conversion stream. A conversion may be synchronous or asynchronous, depending on how the stream was opened."
acmStreamMessage,sends a driver-specific message to an ACM driver.
acmStreamOpen,opens an ACM conversion stream. Conversion streams are used to convert data from one specified audio format to another.
acmStreamPrepareHeader,prepares an ACMSTREAMHEADER structure for an ACM stream conversion.
acmStreamReset,stops conversions for a given ACM stream. All pending buffers are marked as done and returned to the application.
acmStreamSize,returns a recommended size for a source or destination buffer on an ACM stream.
acmStreamUnprepareHeader,cleans up the preparation performed by the acmStreamPrepareHeader function for an ACM stream. This function must be called after the ACM is finished with the given buffers. An application must call this function before freeing the source and destination buffers.
Acquire,"acquires ""joystick configuration mode."" Only one application can be in joystick configuration mode at a time; subsequent attempts by other applications to acquire this mode should receive the error DIERR_OTHERAPPHASPRIO. After entering configuration mode, the application can make alterations to the global joystick configuration settings. The application should check the existing settings before installing the new ones in case another application changed the settings in the interim."
Acquire,acquires photos from a device.
AcquireCredentialsHandleA,acquires a handle to preexisting credentials of a security principal.
AcquireCredentialsHandleW,acquires a handle to preexisting credentials of a security principal.
AcquireDeveloperLicense,Acquires a developer license.
AcquireDirect3D12BufferResource,acquires a Direct3D 12 buffer resource.
AcquireDirect3D12BufferResourceWithTimeout,"acquires a Direct3D 12 buffer resource, with an optional timeout."
AcquireExclusiveAccess,Acquires exclusive access to the device.
AcquireLock,Retrieves the specified lock.
AcquireNextFrame,Indicates that the application is ready to process the next desktop image.
AcquireObjectIdRange,Acquires a range of object IDs from the control host and marks them as reserved by a specific windowless control.
AcquireSRWLockExclusive,Acquires a slim reader/writer lock in exclusive mode.
AcquireSRWLockShared,Acquires a slim reader/writer lock in shared mode.
AcquireSync,"Using a key, acquires exclusive rendering access to a shared resource."
AcquireTargetLock,Locks a target.
AcquireWrappedResources,Acquires D3D11 resources for use with D3D 11on12. Indicates that rendering to the wrapped resources can begin again.
Activate,activates a function-specific interface on a connector or subunit.
Activate,Activates Direct Manipulation for processing input and handling callbacks on the specified window.
Activate,Activates TSF for the calling thread.
Activate,Called when a user interacts with a toast in the action center.
Activate,creates a COM object with the specified interface.
Activate,Creates the dialog box window for the property page.
Activate,Enables a COM+ object to perform context-specific initialization whenever it is activated. 
Activate,Requests that the handler is activated or deactivated. An active handler can be synchronized; an inactive handler cannot.
Activate,returns an active interface for a specified work item.
Activate,Send the service activation request to the network.
ActivateActCtx,activates the specified activation context.
ActivateApplication,Activates the specified Windows Store app for the generic launch contract in the current session.
ActivateAs,"Handles Activate As behavior by unloading all objects of the old class, telling OLE to treat those objects as objects of the new class, and reloading the objects. If objects cannot be reloaded, they are deleted."
ActivateAudioInterfaceAsync,Enables Windows Store apps to access preexisting Component Object Model  interfaces in the WASAPI family.
ActivateBackgroundTask,Activates the specified background task.
ActivateClassById,Creates a Windows Runtime object in the protected media path  process.
ActivateCompleted,Indicates that activation of a WASAPI interface is complete and results are available.
ActivateConfiguration,Sets the configuration for input interaction.
ActivateEx,"activates a text service when a user session starts. If the text service implements ITfTextInputProcessorEx and ActivateEx is called, ITfTextInputProcessor::Activate will not be called."
ActivateEx,Initializes and activates TSF for the calling thread with a flag that specifies how TSF is activated.
ActivateEx,"is used by an application to initialize and activate TSF for the calling thread. Unlike ITfThreadMgr::Activate, ITfThreadMgrEx::ActivateEx can take a flag to specify how TSF is activated."
ActivateForFile,Activates the specified Windows Store app for the file contract .
ActivateForProtocol,Activates the specified Windows Store app for the protocol contract .
ActivateHandler,Activates or deactivates a handler.
ActivateInstance,Creates a new instance of the Windows Runtime class that is associated with the current activation factory.
ActivateKeyboardLayout,Sets the input locale identifier  for the calling thread or the current process. The input locale identifier specifies a locale as well as the physical layout of the keyboard.
ActivateMe,"Asks a document site to activate the document making the call as a document object rather than an in-place-active object and, optionally, specifies which view of the object document to activate."
ActivateObject,Creates the object associated with this activation object.
ActivatePendingView,Deprecated. Coordinates state updating while the browser is switching between a current and a pending view.
ActivateProfile,activates the specified text service's profile or keyboard layout.
ActivateSpatialAudioMetadataCopier,Creates an ISpatialAudioMetadataWriter object for copying spatial audio metadata items from one ISpatialAudioMetadataItems object to another.
ActivateSpatialAudioMetadataItems,Creates an ISpatialAudioMetadataItems object for storing spatial audio metadata items.
ActivateSpatialAudioMetadataReader,Creates an ISpatialAudioMetadataWriter object for reading spatial audio metadata items from an ISpatialAudioMetadataItems object.
ActivateSpatialAudioMetadataWriter,Creates an ISpatialAudioMetadataWriter object for writing spatial audio metadata items to an ISpatialAudioMetadataItems object.
ActivateSpatialAudioObject,Activates an ISpatialAudioObject for audio rendering.
ActivateSpatialAudioObjectForHrtf,Activates an ISpatialAudioObjectForHrtf for audio rendering.
ActivateSpatialAudioObjectForMetadataCommands,Activate an ISpatialAudioObjectForMetadataCommands for rendering.
ActivateSpatialAudioObjectForMetadataItems,Activate an ISpatialAudioObjectForMetadataItems for rendering.
ActivateSpatialAudioStream,Activates and initializes spatial audio stream using one of the spatial audio stream activation structures.
ActivateTab,Activates an item on the taskbar. The window is not actually activated; the window's item on the taskbar is merely displayed as active.
ActivityId,Retrieves the activity ID of the CRM Worker for the specified index.
Add,Adds a certificate to the set.
Add,Adds a column to the result set.
Add,Adds a criterion for search operations.
Add,Adds a data collector set to the collection.
Add,Adds a data collector to the collection.
Add,"adds a fax device to the FaxDeviceIds collection, using the device's ID."
Add,Adds a file or directory described by the IFsiItem object to the file system image.
Add,Adds a folder action to the collection.
Add,Adds a function instance to the collection.
Add,Adds a named item to the collection.
Add,adds a new application to the collection.
Add,"adds a new element to the end of an array, increasing the array by one."
Add,adds a new FaxRecipient object to the FaxRecipients collection.
Add,adds a new rule to the collection.
Add,"adds a pluggable terminal superclass to the registry. If the superclass already exists, the method modifies the information for the superclass."
Add,Adds a property to the collection.
Add,adds a reference to the collection.
Add,Adds a schedule to the collection.
Add,Adds a sensor to the collection.
Add,Adds a simple undo unit to the collection.
Add,"Adds a simple undo unit to the collection. While a parent undo unit is open, the undo manager adds undo units to it by calling IOleParentUndoUnit::Add."
Add,"Adds a single named entity to this INamedEntityCollector collection, as identified in a tokenized span of the input string being parsed."
Add,Adds a string to the end of the collection.
Add,Adds a trace provider to the collection.
Add,Adds an ADSI object to an existing group.
Add,Adds an effect to the IMILBitmapEffectGroup.
Add,Adds an event object to the collection.
Add,Adds an ICertificationAuthority object to the collection.
Add,Adds an ICertSrvSetupKeyInformation object to the collection.
Add,Adds an ICryptAttribute object to the collection.
Add,Adds an ICspAlgorithm object to the collection.
Add,Adds an ICspInformation object to the collection.
Add,Adds an ICspStatus object to the collection.
Add,Adds an IDiskQuotaUser pointer to the batch list.
Add,Adds an IInkStrokeDisp object or InkStrokes collection to an existing InkStrokes collection.
Add,Adds an image or images to an image list.
Add,Adds an InkStrokes collection to an IInkCustomStrokes collection.
Add,Adds an IObjectId object to the collection.
Add,Adds an ISignerCertificate object to the collection.
Add,Adds an ISmimeCapability object to the collection.
Add,"Adds an item to the collection, giving it the high index value."
Add,Adds an item to the collection.
Add,Adds an item to the end of the IUICollection.
Add,adds an item to the Server Data Objects collection.
Add,Adds an IX509Attribute object to the collection.
Add,Adds an IX509CertificateTemplate object to the collection.
Add,Adds an IX509Extension object to the collection.
Add,Adds an IX509NameValuePair object to the collection.
Add,Adds an IX509PolicyServerUrl object to the collection.
Add,Adds an object to the collection.
Add,adds an outbound routing group to the collection represented by the IFaxOutboundRoutingGroups interface.
Add,adds an outbound routing rule to the collection defined by the IFaxOutboundRoutingRules interface.
Add,"Adds columns to result set, given a header containing pairs of property ID followed by property type."
Add,Adds entries from the IGPMGPO and IGPMBackup interfaces. The method updates any entries that are already present in the migration table.
Add,"adds terminal information to the registry. If an entry for the terminal already exists, the method edits the entry."
Add,"Adds the permission specified in a GPMPermission object to the GPMSecurityInfo collection. You can add a permission that is above the level of existing permissions. For more information about restrictions that apply, see the following Remarks section."
Add,creates a new port mapping and adds it to the collection.
Add,Creates and adds an IInkExtendedProperty object to the IInkExtendedProperties collection.
Add,inserts a new item into the collection at the specified index.
Add,Opens a new port and adds it to the collection.
Add,"Provides information on either a newly announced discovery host , or a match to a user initiated query."
Add,Treats the provided word as though it were part of the original dictionary.
add_SpellCheckerChanged,Adds an event handler for the SpellCheckerChanged event.
AddAccessAllowedAce,Adds an access-allowed access control entry to an access control list . The access is granted to a specified security identifier .
AddAccessAllowedAceEx,Adds an access-allowed access control entry to the end of a discretionary access control list .
AddAccessAllowedObjectAce,Adds an access-allowed access control entry to the end of a discretionary access control list .
AddAccessDeniedAce,Adds an access-denied access control entry to an access control list . The access is denied to a specified security identifier .
AddAccessDeniedAceEx,Adds an access-denied access control entry to the end of a discretionary access control list .
AddAccessDeniedObjectAce,"Adds an access-denied access control entry to the end of a discretionary access control list . The new ACE can deny access to an object, or to a property set or property on an object."
AddAccessPath,Adds an access path.
AddAccount,Adds a fax account to the fax server and returns the new IFaxAccount object.
AddAce,adds an IADsAccessControlEntry object to the IADsAccessControlList object.
AddAce,Adds one or more access control entries to a specified access control list .
AddActiveTextPositionChangedEventHandler,Registers a method  that handles when the active text position changes.
AddActiveTextPositionChangedEventHandler,Registers a method that handles when the active text position changes.
AddAlternateLocationMapping,creates an alternate location mapping for a file set.
AddAlternativeLocationMapping,is used by a requester to indicate that an alternate location mapping was used to restore all the members of a file set in a given component.
AddApplicationGroups,Adds the specified array of existing IAzApplicationGroup objects to the client context object.
AddApplicationMessage,Add a user-defined message to the message queue and send that message to debug output.
AddApplicationMessage,Adds a user-defined message to the message queue and sends that message to debug output.
AddApplicationMessage,Adds a user-defined message to the message queue and sends that message to the debug output.
AddAppMember,Adds the specified IAzApplicationGroup object to the list of application groups that belong to this application group.
AddAppMember,Adds the specified IAzApplicationGroup object to the list of application groups that belong to this role.
AddAppNonMember,Adds the specified IAzApplicationGroup object to the list of application groups that are refused membership in this application group.
AddArc,Adds a single arc to the path geometry.
AddArc,adds an elliptical arc to the current figure of this path.
AddArc,Creates a single arc and adds it to the path geometry.
AddArguments,Adds additional arguments to this list of compiler arguments.
AddArgumentsUTF8,Adds additional UTF-8-encoded arguments to this list of compiler arguments.
AddAtomA,Adds a character string to the local atom table and returns a unique value identifying the string.
AddAtomW,Adds a character string to the local atom table and returns a unique value identifying the string.
AddAttachedSurface,Attaches the specified z-buffer surface to this surface.
addAttributeToRequest,Adds an attribute to the certificate request. This method was first defined in the ICEnroll4 interface.
addAttributeToRequestWStr,Adds an attribute to the certificate request.
AddAudioTrack,Writes the data stream to the current media as a new track.
AddAudioTrackBlocks,Adds blocks of audio data to the currently open track. This method can be called repeatedly until there is no space available or the track is full.
AddAuditAccessAce,Adds a system-audit access control entry to a system access control list . The access of a specified security identifier is audited.
AddAuditAccessAceEx,Adds a system-audit access control entry to the end of a system access control list .
AddAuditAccessObjectAce,Adds a system-audit access control entry to the end of a system access control list .
AddAuthenticatedAttributesToPKCS7Request,Adds authenticated attributes to a PKCS.
AddAutomaticFile,Adds files to an automatic content group in a content group map.
AddAutomaticGroup,Adds an automatic content group to the content group map.
AddAutomationEvent,Raises a Microsoft UI Automation event.
AddAutomationEventHandler,Registers a method that handles Microsoft UI Automation events.
AddAutomationEventHandler,"Registers a method that handles Microsoft UI Automation events.  Before implementing an event handler, you should be familiar with the threading issues described in Understanding Threading Issues."
AddAutomationPropertyChangedEvent,Raises a property-changed event.
AddAuxiliaryInput,"Adds an auxiliary input to the APO, and provides initialization parameters."
AddAvailableCsps,Adds the providers installed on the computer to the collection.
AddAvailableSmimeCapabilities,Adds ISmimeCapability objects to the collection by identifying the encryption algorithms supported by the default RSA cryptographic provider.
AddBand,Adds a band to a band site object.
AddBehavior,Adds a behavior to the viewport and returns a cookie to the caller.
AddBezier,adds a BÃ©zier spline to the current figure of this path.
AddBezier,adds a Bezier spline to the current figure of this path.
AddBezier,Creates a cubic Bezier curve between the current point and the specified end point.
AddBezier,Creates a cubic Bezier curve between the current point and the specified endpoint.
AddBeziers,adds a sequence of connected BÃ©zier splines to the current figure of this path.
AddBeziers,adds a sequence of connected Bezier splines to the current figure of this path.
AddBeziers,Creates a sequence of cubic Bezier curves and adds them to the geometry sink.
AddBitmap,Enables a snap-in to add an image to the toolbar.
addBlobPropertyToCertificate,Adds a BLOB property to a certificate.
addBlobPropertyToCertificateWStr,adds a BLOB property to a certificate.
AddBlockedControl,Adds the specified blocked control .
AddBuffer,Adds a buffer to the end of the list of buffers in the sample.
AddButton,enables a user to add a button to the MMC menu bar for a particular view.
AddButtons,Enables a snap-in to add an array of buttons to the toolbar.
AddCallback,registers an application's callback with the UPnP framework.
AddCertificate,Add an endorsement key certificate to the key storage provider that supports endorsement keys.
addCertTypeToRequest,Adds a certificate template to a request. This method was first defined by the ICEnroll2 interface.
addCertTypeToRequestEx,Adds a certificate template to a request.
AddCertTypeToRequestWStr,Adds a certificate template to a request.
AddCertTypeToRequestWStrEx,Adds a certificate template to a request.
AddChangesEventHandler,Registers a method that handles change events.
AddChangesEventHandler,"Registers a method that handles change events.  Before implementing an event handler, you should be familiar with the threading issues described in Understanding Threading Issues."
AddChangeUnitMetadata,Adds change unit metadata to an item change.
AddCheckButton,Adds a check button to the dialog.
AddChild,Adds a child element to the collection at the specified index.
AddClipboardFormatListener,Places the given window in the system-maintained clipboard format listener list.
AddClipPlaneFromCBuffer,Adds a clip plane with the plane coefficients taken from a cbuffer entry for 10Level9 shaders.
AddClockStateSink,"Registers an object to be notified whenever the clock starts, stops, or pauses, or changes rate."
AddClosedCurve,adds a closed cardinal spline to this path.
AddClusterGroupDependency,Adds a dependency between two cluster groups.
